ID,Text,Priority,OwnerDoc,API,Data,Security,Test,Roadmap,Status
PRD-F-001,"Gestire contenuti, catalogo e configurazioni operative senza deploy applicativo.",Must,01_Product/01_PRD.md,Cross-feature application APIs,Domain-specific aggregates,Constitution + Threat Model,TEST-PRD-F-001,E-0011,Specified
PRD-F-002,"Pubblicare un sito pubblico indicizzabile con homepage, servizi, portfolio, blog ed eventi.",Must,01_Product/01_PRD.md,Cross-feature application APIs,Domain-specific aggregates,Constitution + Threat Model,TEST-PRD-F-002,E-0004,Specified
PRD-F-003,Offrire un catalogo filtrabile con pagine prodotto e varianti amministrabili.,Must,01_Product/01_PRD.md,Cross-feature application APIs,Domain-specific aggregates,Constitution + Threat Model,TEST-PRD-F-003,E-0005,Specified
PRD-F-004,Acquisire richieste di contatto e preventivo con allegati controllati.,Must,01_Product/01_PRD.md,Cross-feature application APIs,Domain-specific aggregates,Constitution + Threat Model,TEST-PRD-F-004,E-0006,Specified
PRD-F-005,"Gestire lead, assegnazione, stato e storico nel back office.",Must,01_Product/01_PRD.md,Cross-feature application APIs,Domain-specific aggregates,Constitution + Threat Model,TEST-PRD-F-005,E-0006,Specified
PRD-F-006,"Gestire newsletter con double opt-in, preferenze e unsubscribe.",Must,01_Product/01_PRD.md,Cross-feature application APIs,Domain-specific aggregates,Constitution + Threat Model,TEST-PRD-F-006,E-0010,Specified
PRD-F-007,"Fornire amministrazione con RBAC, audit e separazione delle capability.",Must,01_Product/01_PRD.md,Cross-feature application APIs,Domain-specific aggregates,Constitution + Threat Model,TEST-PRD-F-007,E-0011,Specified
PRD-F-008,"Supportare Media Library con provenance, diritti e derivative.",Must,01_Product/01_PRD.md,Cross-feature application APIs,Domain-specific aggregates,Constitution + Threat Model,TEST-PRD-F-008,E-0011,Specified
PRD-F-009,Presentare PrintFlow esclusivamente come Coming Soon in Fase 1.,Must,01_Product/01_PRD.md,Cross-feature application APIs,Domain-specific aggregates,Constitution + Threat Model,TEST-PRD-F-009,E-0016,Specified
PRD-F-010,Consentire configurazioni lanterna salvabili e revisionabili.,Should/F1 staged,01_Product/01_PRD.md,Cross-feature application APIs,Domain-specific aggregates,Constitution + Threat Model,TEST-PRD-F-010,E-0007,Specified
PRD-F-011,Preparare il preventivatore STL modulare senza rendere obbligatoria l’automazione in Fase 1.,Must architetturale,01_Product/01_PRD.md,Cross-feature application APIs,Domain-specific aggregates,Constitution + Threat Model,TEST-PRD-F-011,E-0015,Specified
PRD-F-012,"Supportare assistenza stampanti con triage, workflow e comunicazioni.",Must,01_Product/01_PRD.md,Cross-feature application APIs,Domain-specific aggregates,Constitution + Threat Model,TEST-PRD-F-012,E-0009,Specified
PRD-F-013,Tracciare funnel e conversioni nel rispetto del consenso.,Must,01_Product/01_PRD.md,Cross-feature application APIs,Domain-specific aggregates,Constitution + Threat Model,TEST-PRD-F-013,E-0010,Specified
PRD-F-014,Fornire Jarvis e assistenti AI con strumenti autorizzati e human review.,Should,01_Product/01_PRD.md,Cross-feature application APIs,Domain-specific aggregates,Constitution + Threat Model,TEST-PRD-F-014,E-0012,Specified
PRD-F-015,"Predisporre area cliente, ordini e integrazioni future senza bloccare il lancio.",Should,01_Product/01_PRD.md,Cross-feature application APIs,Domain-specific aggregates,Constitution + Threat Model,TEST-PRD-F-015,E-0014,Specified
PRD-NF-001,I flussi core devono raggiungere WCAG 2.2 AA.,Must,01_Product/01_PRD.md,Cross-cutting contract,N/A / cross-cutting,Cross-cutting quality gate,TEST-PRD-NF-001,E-0003,Specified
PRD-NF-002,Le route pubbliche e i media devono rispettare i performance budget approvati.,Must,01_Product/01_PRD.md,Cross-cutting contract,N/A / cross-cutting,Cross-cutting quality gate,TEST-PRD-NF-002,E-0003,Specified
