seq	command	cwd	start_timestamp	end_timestamp	exit_code	expected_result	actual_result	evidence_file
NOTE: this file supersedes the round-1 commands.tsv, per Atlas TPM's 2026-08-13 Technical Review finding that the prior version lacked start timestamps and referenced files not among the 12 committed evidence files. Every timestamp below was captured live with `date -u +%Y-%m-%dT%H:%M:%SZ` immediately before and after each command ran, in the same shell session, sequentially, in this exact worktree. Every "evidence_file" column value below is one of the 12 files actually committed at Project_Atlas_Team_Workspace/05_Evidence/WPR/CLAUDE-WPR-M1-CORRECTED/claude/ -- no scratch-directory filename (e.g. no "01-" numeric prefixes) is referenced.
1	node --test scripts/guards/production-readiness-guard.test.mjs	G:\Claude\NoLimits3D-website-claude-wpr-m1-corrected	2026-08-13T14:32:53Z	2026-08-13T14:32:54Z	0	all dedicated packet-specific tests pass, including every new Technical Review round-2 fail-closed check	95 tests, 95 pass, 0 fail (up from 76 in round 1; +19 for category completeness, value-type/format, date-time, and real-file consumption-proof coverage)	guard-tests.txt
2	pnpm guard:production-readiness	G:\Claude\NoLimits3D-website-claude-wpr-m1-corrected	2026-08-13T14:32:54Z	2026-08-13T14:32:55Z	1	non-zero, ready:false, complete deterministic reason set for the real committed manifest (expected red); no new spurious violation introduced by any round-2 check	ready:false, 2 violations (HARDCODED_VALUE_WITHOUT_APPROVAL x2, unchanged from round 1), 26 unreadyRequiredFields, fixtureOnly:false	production-readiness-summary.json
3	(embedded) node scripts/guards/production-readiness-guard.mjs --manifest <temp synthetic fixture> --binding <temp synthetic fixture>	G:\Claude\NoLimits3D-website-claude-wpr-m1-corrected (invoked from within the guard test suite via execFileSync)	2026-08-13T14:32:53Z	2026-08-13T14:32:54Z	0	dedicated positive synthetic-fixture invocation: exit 0, ready:true, labelled fixture-only	ready:true, 0 violations, fixtureOnly:true; fixture built and destroyed entirely inside the test's own temp directory, never committed	guard-tests.txt (subtest "11. CLI: dedicated positive synthetic-fixture invocation...")
4	pnpm build	G:\Claude\NoLimits3D-website-claude-wpr-m1-corrected	2026-08-13T14:32:55Z	2026-08-13T14:33:11Z	0	all workspace packages build clean	packages/ui, apps/web, apps/ui-playground all built successfully	canonical-gates.txt
5	pnpm lint	G:\Claude\NoLimits3D-website-claude-wpr-m1-corrected	2026-08-13T14:33:11Z	2026-08-13T14:33:39Z	0	eslint . --max-warnings=0 clean	no errors or warnings, exit 0	canonical-gates.txt
6	pnpm format:check	G:\Claude\NoLimits3D-website-claude-wpr-m1-corrected	2026-08-13T14:33:39Z	2026-08-13T14:33:45Z	0	Prettier clean across all governed globs	"All matched files use Prettier code style!" (after a Prettier --write pass on the two edited guard files)	canonical-gates.txt
7	pnpm typecheck	G:\Claude\NoLimits3D-website-claude-wpr-m1-corrected	2026-08-13T14:33:45Z	2026-08-13T14:33:59Z	0	tsc clean across all workspace projects	all 6 workspace projects typecheck clean	canonical-gates.txt
8	pnpm test	G:\Claude\NoLimits3D-website-claude-wpr-m1-corrected	2026-08-13T14:33:59Z	2026-08-13T14:35:35Z	0	guards.test.mjs (untouched, existing) + @atlas/ui + @atlas/web all pass	guards.test.mjs 24/24; @atlas/ui 137/137; @atlas/web 162/162	canonical-gates.txt
9	pnpm secret:scan	G:\Claude\NoLimits3D-website-claude-wpr-m1-corrected	2026-08-13T14:35:35Z	2026-08-13T14:35:38Z	0	no secret/credential pattern found	"Secret scan fallback: PASS"	canonical-gates.txt
10	pnpm dependency:audit	G:\Claude\NoLimits3D-website-claude-wpr-m1-corrected	2026-08-13T14:35:38Z	2026-08-13T14:35:41Z	0	zero unwaived Critical/High, no new dependency/waiver	528 registry packages; counts {critical:0,high:0,moderate:0,low:0,info:0,unknown:0}; one pre-existing waived advisory (react-router, waived until 2026-11-04, not introduced by this packet)	canonical-gates.txt
11	pnpm guard:scope	G:\Claude\NoLimits3D-website-claude-wpr-m1-corrected	2026-08-13T14:35:41Z	2026-08-13T14:35:43Z	0	no forbidden-path/Jarvis/operational-PrintFlow/command-leak exposure	"Scope and private-route guard: PASS"	canonical-gates.txt
12	pnpm guard:migrations	G:\Claude\NoLimits3D-website-claude-wpr-m1-corrected	2026-08-13T14:35:43Z	2026-08-13T14:35:44Z	0	no migration drift (none authored by this packet)	"Migration dry-run: NOT_APPLICABLE (no migration SQL files)"	canonical-gates.txt
13	pnpm guard:source-bindings	G:\Claude\NoLimits3D-website-claude-wpr-m1-corrected	2026-08-13T14:35:44Z	2026-08-13T14:35:45Z	0	docs/source-bindings/project-sources.json bindings verify against the Bible	"Documentation source-binding guard: PASS"	canonical-gates.txt
