DocumentID,Path,Title,Area,Owner,Version,Status
DOC-GOV-001,000_GOVERNANCE/001_DOCUMENTATION_STANDARD.md,001 — Documentation Standard,000_GOVERNANCE,Documentation Architecture,0.96,Release Candidate
DOC-GOV-002,000_GOVERNANCE/002_VERSIONING_POLICY.md,002 — Versioning Policy,000_GOVERNANCE,Project Governance,0.95.3,In Review
DOC-GOV-003,000_GOVERNANCE/003_CHANGE_REQUEST_PROCESS.md,003 — Change Request Process,000_GOVERNANCE,Change Control Board,0.96,Release Candidate
DOC-GOV-004,000_GOVERNANCE/004_ADR_POLICY.md,004 — ADR Policy,000_GOVERNANCE,Software Architecture,0.95.3,In Review
DOC-GOV-005,000_GOVERNANCE/005_TRACEABILITY_STANDARD.md,005 — Traceability Standard,000_GOVERNANCE,Quality Engineering,0.96,Release Candidate
DOC-GOV-006,000_GOVERNANCE/006_DOCUMENT_LIFECYCLE.md,006 — Document Lifecycle,000_GOVERNANCE,Documentation Architecture,0.96,Release Candidate
DOC-GOV-007,000_GOVERNANCE/007_QUALITY_GATES.md,007 — Documentation Quality Gates,000_GOVERNANCE,Quality Engineering,0.96,Release Candidate
DOC-GOV-008,000_GOVERNANCE/008_AI_COLLABORATION_POLICY.md,008 — AI Collaboration Policy,000_GOVERNANCE,AI Governance,0.95.4,In Review
DOC-GOV-009,000_GOVERNANCE/009_AUDIT_PROCESS.md,009 — Documentation Audit Process,000_GOVERNANCE,Quality Engineering,0.96,Release Candidate
DOC-GOV-010,000_GOVERNANCE/010_GOVERNANCE_GLOSSARY.md,010 — Governance Glossary,000_GOVERNANCE,Documentation Architecture,0.95.4,In Review
DOC-GOV-011,000_GOVERNANCE/011_OWNER_REGISTRY.md,011 — Owner Document Registry,000_GOVERNANCE,Documentation Architecture,0.96,Release Candidate
DOC-GOV-012,000_GOVERNANCE/012_DOCUMENTATION_CI_SPEC.md,012 — Documentation CI Specification,000_GOVERNANCE,Developer Experience / Quality Engineering,0.96,Release Candidate
DOC-FND-001,00_Foundation/00_Project_Constitution.md,Project Constitution,00_Foundation,CTO / Product Architecture,0.96,Release Candidate
DOC-FND-005,00_Foundation/01_Vision_and_5Y_Strategy.md,Visione e strategia a cinque anni,00_Foundation,CTO / Product,0.95.3,In Review
DOC-FND-006,00_Foundation/02_Glossary.md,Glossario e linguaggio condiviso,00_Foundation,CTO / Product,0.95.3,In Review
DOC-FND-004,00_Foundation/03_Documentation_Governance.md,Governance della documentazione — indice applicativo,00_Foundation,Documentation Architecture,0.96,Release Candidate
DOC-PROD-001,01_Product/01_PRD.md,Product Requirements Document,01_Product,Product,0.95.4,In Review
DOC-PROD-006,01_Product/02_Personas_Journeys.md,Personas e Customer Journeys,01_Product,Product / UX,0.95.3,In Review
DOC-PROD-003,01_Product/03_Business_Rules.md,Business Rules,01_Product,Product / Domain,0.95.3,In Review
DOC-PROD-004,01_Product/04_State_Machines.md,State Machines,01_Product,Domain Architecture,0.95.3,In Review
DOC-PROD-005,01_Product/05_Marketplace_and_GoToMarket_Strategy.md,"Visione commerciale, Marketplace e Go-to-Market Strategy",01_Product,Business / Product,0.95.3,In Review
DOC-ARCH-001,02_Architecture/01_SDS.md,Software Design Specification,02_Architecture,Software Architecture,0.95.4,In Review
DOC-ARCH-002,02_Architecture/02_Domain_Model.md,Domain Model,02_Architecture,Domain Architecture,0.95.3,In Review
DOC-ARCH-009,02_Architecture/03_Integration_Architecture.md,Integration Architecture,02_Architecture,Software Architecture,0.95.3,In Review
DOC-ARCH-010,02_Architecture/04_File_Storage_Strategy.md,File Storage Strategy,02_Architecture,Software Architecture,0.95.3,In Review
