ID,Text,Priority,OwnerDoc
PRD-F-001,"Gestire contenuti, catalogo e configurazioni operative senza deploy applicativo.",Must,01_Product/01_PRD.md
PRD-F-002,"Pubblicare un sito pubblico indicizzabile con homepage, servizi, portfolio, blog ed eventi.",Must,01_Product/01_PRD.md
PRD-F-003,Offrire un catalogo filtrabile con pagine prodotto e varianti amministrabili.,Must,01_Product/01_PRD.md
PRD-F-004,Acquisire richieste di contatto e preventivo con allegati controllati.,Must,01_Product/01_PRD.md
PRD-F-005,"Gestire lead, assegnazione, stato e storico nel back office.",Must,01_Product/01_PRD.md
PRD-F-006,"Gestire newsletter con double opt-in, preferenze e unsubscribe.",Must,01_Product/01_PRD.md
PRD-F-007,"Fornire amministrazione con RBAC, audit e separazione delle capability.",Must,01_Product/01_PRD.md
PRD-F-008,"Supportare Media Library con provenance, diritti e derivative.",Must,01_Product/01_PRD.md
PRD-F-009,Presentare PrintFlow esclusivamente come Coming Soon in Fase 1.,Must,01_Product/01_PRD.md
PRD-F-010,Consentire configurazioni lanterna salvabili e revisionabili.,Should/F1 staged,01_Product/01_PRD.md
PRD-F-011,Preparare il preventivatore STL modulare senza rendere obbligatoria l’automazione in Fase 1.,Must architetturale,01_Product/01_PRD.md
PRD-F-012,"Supportare assistenza stampanti con triage, workflow e comunicazioni.",Must,01_Product/01_PRD.md
PRD-F-013,Tracciare funnel e conversioni nel rispetto del consenso.,Must,01_Product/01_PRD.md
PRD-F-014,Fornire Jarvis e assistenti AI con strumenti autorizzati e human review.,Should,01_Product/01_PRD.md
PRD-F-015,"Predisporre area cliente, ordini e integrazioni future senza bloccare il lancio.",Should,01_Product/01_PRD.md
PRD-NF-001,I flussi core devono raggiungere WCAG 2.2 AA.,Must,01_Product/01_PRD.md
PRD-NF-002,Le route pubbliche e i media devono rispettare i performance budget approvati.,Must,01_Product/01_PRD.md
PRD-NF-003,"Autenticazione, autorizzazione e upload devono seguire secure-by-default e least privilege.",Must,01_Product/01_PRD.md
PRD-NF-004,"Dati personali, consensi e retention devono essere conformi alle policy privacy UE/Italia.",Must,01_Product/01_PRD.md
PRD-NF-005,"Disponibilità target Fase 1: 99,5% mensile esclusa manutenzione programmata.",Should,01_Product/01_PRD.md
PRD-NF-006,Backup e restore devono raggiungere almeno RPO 24h e RTO 8h iniziali.,Must,01_Product/01_PRD.md
